ID,Name,PubChem CID,CAS number,canonical SMILES,Taste,Class taste,Reference_(cod)/[pp],taste_word_count,taste_has_multiple,smiles_length,num_carbons,num_oxygens,num_nitrogens,num_sulfurs,num_halogens,num_rings,num_aromatic,num_double_bonds,num_triple_bonds,num_brackets,num_branches,C_O_ratio,N_C_ratio,ring_aromatic_ratio,heteroatom_ratio
2100,Herbolide A,90474440,64562-23-8,CC1C2CC(OC(C)=O)C(=CCCC(=CC2OC1=O)C)C,Bitter,Bitterness,Dagan-Wiener2019_(1190),1,False,37,17,4,0,0,0,4,0,4,0,0,8,3.4,0.0,0.0,0.10526315789473684
2101,Herbolide D,*,*,CC1C2CC(OC(C)=O)C(=C)C(O)CCC(=CC2OC1=O)C,Bitter,Bitterness,Dagan-Wiener2019_(933),1,False,40,17,5,0,0,0,4,0,4,0,0,10,2.8333333333333335,0.0,0.0,0.12195121951219512
2102,Herbolide D acetate,45360231,*,CC1C2CC(OC(C)=O)C(=C)C(CCC(=CC2OC1=O)C)OC(C)=O,Bitter,Bitterness,Dagan-Wiener2019_(1191),1,False,46,19,6,0,0,0,4,0,5,0,0,12,2.7142857142857144,0.0,0.0,0.1276595744680851
2103,Hexethal sodium,23690440,144-00-3,[Na+].CCCCCCC1(CC)C(=O)NC(=NC1=O)[O-],Bitter,Bitterness,Dagan-Wiener2019_(587),1,False,37,12,3,2,0,0,2,0,3,0,4,6,3.0,0.15384615384615385,0.0,0.13157894736842105
2104,Hexobarbital sodium,23664950,50-09-9,[Na+].CN1C(=O)[N-]C(=O)C(C)(C1=O)C1=CCCCC1,Bitter,Bitterness,Dagan-Wiener2019_(235),1,False,42,12,3,2,0,0,4,0,4,0,4,8,3.0,0.15384615384615385,0.0,0.11627906976744186
2105,Hg-12,9832662,*,COC1CC(OC(C)C1OC1CC(OC)C(OC2OC(C)C(O)C(OC)C2O)C(C)O1)OC1CCC2(C)C3CC(OC(=O)C(C)=CC)C4(C)C(CCC4(O)C3CC=C2C1)C(C)=O,Bitter,Bitterness,Dagan-Wiener2019_(927),1,False,112,47,15,0,0,0,14,0,4,0,0,32,2.9375,0.0,0.0,0.13274336283185842
2106,Homidium bromide,14710,1239-45-8,[Br-].CC[n+]1c(c2cc(ccc2c2ccc(cc12)N)N)-c1ccccc1,Bitter,Bitterness,Dagan-Wiener2019_(237),1,False,48,2,0,2,0,1,8,20,0,0,4,6,2.0,0.6666666666666666,2.2222222222222223,0.04081632653061224
2107,Homocamfin,222994,535-86-4,CC(C)C1CC(=CC(=O)C1)C,Bitter,Bitterness,Dagan-Wiener2019_(588),1,False,21,10,1,0,0,0,2,0,2,0,0,6,5.0,0.0,0.0,0.045454545454545456
2108,Homoeriodictyol,73635,446-71-9,COc1cc(ccc1O)C1CC(=O)c2c(cc(cc2O1)O)O,Bitter,Bitterness,Dagan-Wiener2019_(895),1,False,37,4,6,0,0,0,6,12,1,0,0,8,0.5714285714285714,0.0,1.7142857142857142,0.15789473684210525
2109,Homoquinizolate,*,*,OCC1C(=Cc2ccco2)C(=O)c2c(c(c(c[n+]12)[O-])Cc1ccco1)CO,Strongly bitter,Bitterness,Dagan-Wiener2019_(1160),2,False,53,7,4,0,0,0,8,16,2,0,4,10,1.4,0.0,1.7777777777777777,0.07407407407407407
2110,"Homoserine lactone, N-(3-oxohexanoyl)-L-",119133,76924-95-3,CCCC(=O)CC(=O)NC1CCOC1=O,Bitter,Bitterness,Dagan-Wiener2019_(951),1,False,24,10,4,1,0,0,2,0,3,0,0,4,2.0,0.09090909090909091,0.0,0.2
2111,"Homoserine lactone, N-(3-oxooctanoyl)-L-",127293,147795-39-9,CCCCCC(=O)CC(=O)NC1CCOC1=O,Bitter,Bitterness,Dagan-Wiener2019_(950),1,False,26,12,4,1,0,0,2,0,3,0,0,4,2.4,0.07692307692307693,0.0,0.18518518518518517
